measurement_id,observation_id,value,trait_id,standard_id,method_id
178,55,338,6,26,7
178,28868,0.714,38,12,29
179,55,3,7,28,9
179,28869,0.216,37,12,29
180,55,dead,9,26,12
180,28869,0.275,38,12,29
181,56,338,6,26,7
181,28870,0.42,37,12,29
182,56,4,7,28,9
182,28870,0.413,38,12,29
183,56,dead,9,26,12
183,28871,0.358,37,12,29
184,57,338,6,26,7
184,28871,0.852,38,12,29
185,57,5,7,28,9
185,28872,0.511,37,12,29
186,57,dead,9,26,12
186,28872,0.576,38,12,29
187,58,345,6,26,7
187,28873,-0.042,37,12,29
188,58,0,7,28,9
188,28873,0.049,38,12,29
189,58,9,10,48,5
189,28874,0.146,37,12,29
190,59,345,6,26,7
190,28874,0.147,38,12,29
191,59,3,7,28,9
191,28875,-0.03,37,12,29
192,59,dead,9,26,12
192,28875,0.391,38,12,29
193,60,345,6,26,7
193,28876,-0.102,37,12,29
194,60,4,7,28,9
194,28876,-0.022,38,12,29
195,60,dead,9,26,12
195,28877,-0.307,37,12,29
196,61,345,6,26,7
196,28877,0.239,38,12,29
197,61,5,7,28,9
197,28878,0.036,37,12,29
198,61,dead,9,26,12
198,28878,0.189,38,12,29
199,62,357,6,26,7
199,28879,0.243,37,12,29
200,62,0,7,28,9
200,28879,0.179,38,12,29
201,62,9,10,48,5
201,28880,0.093,37,12,29
202,63,357,6,26,7
202,28880,0.184,38,12,29
203,63,3,7,28,9
203,28881,0.29,37,12,29
204,63,dead,9,26,12
204,28881,0.354,38,12,29
205,64,357,6,26,7
205,28882,0.139,37,12,29
206,64,4,7,28,9
206,28882,0.413,38,12,29
207,64,dead,9,26,12
207,28883,-0.119,37,12,29
208,65,357,6,26,7
208,28883,0.022,38,12,29
209,65,5,7,28,9
209,28884,-0.034,37,12,29
210,65,dead,9,26,12
210,28884,0.061,38,12,29
211,66,365,6,26,7
211,28885,0.172,37,12,29
212,66,0,7,28,9
212,28885,0.447,38,12,29
213,66,7,10,48,5
213,28886,0.336,37,12,29
214,67,365,6,26,7
214,28886,0.63,38,12,29
215,67,3,7,28,9
215,28887,0.221,37,12,29
216,67,dead,9,26,12
216,28887,0.5,38,12,29
217,68,365,6,26,7
217,28888,0.175,37,12,29
218,68,4,7,28,9
218,28888,0.449,38,12,29
219,68,dead,9,26,12
219,28889,0.347,37,12,29
220,69,365,6,26,7
220,28889,0.707,38,12,29
221,69,5,7,28,9
221,28890,0.192,37,12,29
222,69,dead,9,26,12
222,28890,0.381,38,12,29
223,70,378,6,26,7
223,28891,0.518,37,12,29
224,70,0,7,28,9
224,28891,0.599,38,12,29
225,70,6.5,10,48,5
225,28892,0.363,37,12,29
226,71,378,6,26,7
226,28892,1.047,38,12,29
227,71,3,7,28,9
227,28893,0.403,37,12,29
228,71,dead,9,26,12
228,28893,0.704,38,12,29
229,72,378,6,26,7
229,28894,0.513,37,12,29
230,72,4,7,28,9
230,28894,0.628,38,12,29
231,72,dead,9,26,12
231,28895,0.149,37,12,29
232,73,378,6,26,7
232,28895,0.333,38,12,29
233,73,5,7,28,9
233,28896,-0.106,37,12,29
234,73,dead,9,26,12
234,28896,0.286,38,12,29
235,74,390,6,26,7
235,28897,0.294,37,12,29
236,74,0,7,28,9
236,28898,0.263,37,12,29
237,74,10,10,48,5
237,28898,0.442,38,12,29
238,75,390,6,26,7
238,28899,0.545,37,12,29
239,75,3,7,28,9
239,28899,0.435,38,12,29
240,75,12,10,48,5
240,28900,0.509,37,12,29
241,75,alive,9,26,12
241,28900,0.374,38,12,29
242,76,390,6,26,7
242,28901,0.667,37,12,29
243,76,4,7,28,9
243,28901,0.632,38,12,29
244,76,13.5,10,48,5
244,28902,0.739,37,12,29
245,76,alive,9,26,12
245,28902,1.002,38,12,29
246,77,390,6,26,7
246,28903,1.144,37,12,29
247,77,5,7,28,9
247,28903,0.819,38,12,29
248,77,dead,9,26,12
248,28904,0.528,37,12,29
249,78,397,6,26,7
249,28904,0.895,38,12,29
250,78,0,7,28,9
250,28905,-0.117,37,12,29
251,78,7,10,48,5
251,28905,0.786,38,12,29
252,79,397,6,26,7
252,28906,0.5125,37,12,29
253,79,3,7,28,9
253,28906,1.246,38,12,29
254,79,dead,9,26,12
254,28907,0.568,37,12,29
255,80,397,6,26,7
255,28907,0.859,38,12,29
256,80,4,7,28,9
256,28908,0.528,37,12,29
257,80,dead,9,26,12
257,28908,0.942,38,12,29
258,82,315,6,26,7
258,28909,0.427,37,12,29
259,82,0,7,28,9
259,28909,0.437,38,12,29
260,82,10.5,10,48,5
260,28910,0.664,37,12,29
261,83,315,6,26,7
261,28910,0.54,38,12,29
262,83,3,7,28,9
262,28911,0.857,37,12,29
263,83,23.5,10,48,5
263,28911,0.905,38,12,29
264,83,alive,9,26,12
264,28912,0.802,37,12,29
265,84,315,6,26,7
265,28912,0.963,38,12,29
266,84,5,7,28,9
266,28913,0.484,37,12,29
267,84,17.5,10,48,5
267,28913,0.464,38,12,29
268,84,alive,9,26,12
268,28914,1.08,37,12,29
269,85,320,6,26,7
269,28914,0.854,38,12,29
270,85,0,7,28,9
270,28915,0.402,37,12,29
271,85,8,10,48,5
271,28915,0.833,38,12,29
272,86,320,6,26,7
272,28916,0.897,37,12,29
273,86,3,7,28,9
273,28916,0.859,38,12,29
274,86,16,10,48,5
274,28917,0.822,37,12,29
275,86,alive,9,26,12
275,28917,0.949,38,12,29
276,87,320,6,26,7
276,28918,0.799,37,12,29
277,87,4,7,28,9
277,28918,1.086,38,12,29
278,87,17.5,10,48,5
278,28919,1.594,37,12,29
279,87,alive,9,26,12
279,28919,0.713,38,12,29
280,88,320,6,26,7
280,28920,0.626,37,12,29
281,88,5,7,28,9
281,28920,0.873,38,12,29
282,88,16,10,48,5
282,28921,0.662,37,12,29
283,88,alive,9,26,12
283,28921,1.527,38,12,29
284,89,322,6,26,7
284,28922,0.856,37,12,29
285,89,0,7,28,9
285,28922,0.991,38,12,29
286,89,5,10,48,5
286,28923,0.696,37,12,29
287,90,322,6,26,7
287,28923,0.648,38,12,29
288,90,3,7,28,9
288,28924,0.346,37,12,29
289,90,dead,9,26,12
289,28924,0.609,38,12,29
290,91,322,6,26,7
290,28925,0.775,37,12,29
291,91,4,7,28,9
291,28925,0.901,38,12,29
292,91,dead,9,26,12
292,28926,0.72,37,12,29
293,92,322,6,26,7
293,28926,0.446,38,12,29
294,92,5,7,28,9
294,28927,0.702,37,12,29
295,92,dead,9,26,12
295,28927,1.012,38,12,29
296,93,323,6,26,7
296,28928,1.085,37,12,29
297,93,0,7,28,9
297,28928,1.082,38,12,29
298,93,12,10,48,5
298,28929,0.44,37,12,29
299,94,323,6,26,7
299,28929,0.826,38,12,29
300,94,3,7,28,9
300,28930,1.094,37,12,29
301,94,17.5,10,48,5
301,28930,1.232,38,12,29
302,94,alive,9,26,12
302,28931,0.546,37,12,29
303,95,323,6,26,7
303,28931,0.813,38,12,29
304,95,4,7,28,9
304,28932,0.647,37,12,29
305,95,21,10,48,5
305,28932,0.975,38,12,29
306,95,alive,9,26,12
306,28933,1.006,38,12,29
307,96,323,6,26,7
307,28934,0.212,37,12,29
308,96,5,7,28,9
308,28934,0.558,38,12,29
309,96,18.5,10,48,5
309,28935,0.022,37,12,29
310,96,alive,9,26,12
310,28935,0.111,38,12,29
311,97,344,6,26,7
311,28936,0.035,37,12,29
312,97,0,7,28,9
312,28936,0.227,38,12,29
313,97,9,10,48,5
313,28937,-0.059,37,12,29
314,98,344,6,26,7
314,28937,0.187,38,12,29
315,98,3,7,28,9
315,28938,0.217,37,12,29
316,98,22,10,48,5
316,28938,0.357,38,12,29
317,98,alive,9,26,12
317,28939,0.077,37,12,29
318,99,344,6,26,7
318,28939,-0.068,38,12,29
319,99,4,7,28,9
319,28940,0.037,37,12,29
320,99,24.5,10,48,5
320,28940,0.193,38,12,29
321,99,alive,9,26,12
321,28941,-0.028,37,12,29
322,100,344,6,26,7
322,28941,-0.095,38,12,29
323,100,5,7,28,9
323,28942,0.175,37,12,29
324,100,18.5,10,48,5
324,28942,0.09,38,12,29
325,100,alive,9,26,12
325,28943,-0.121,37,12,29
326,101,358,6,26,7
326,28943,0.659,38,12,29
327,101,0,7,28,9
327,28944,0.011,37,12,29
328,101,5,10,48,5
328,28944,0.199,38,12,29
329,102,358,6,26,7
329,28945,0.005,37,12,29
330,102,3,7,28,9
330,28945,-0.003,38,12,29
331,102,dead,9,26,12
331,28946,-0.128,37,12,29
332,103,358,6,26,7
332,28946,0.04,38,12,29
333,103,4,7,28,9
333,28947,0.209,37,12,29
334,103,dead,9,26,12
334,28947,0.143,38,12,29
335,104,358,6,26,7
335,28948,-0.036,37,12,29
336,104,5,7,28,9
336,28948,0.036,38,12,29
337,104,dead,9,26,12
337,28949,0.004,37,12,29
338,105,372,6,26,7
338,28950,-0.257,37,12,29
339,105,0,7,28,9
339,28950,-0.14,38,12,29
340,105,11,10,48,5
340,28951,0.135,37,12,29
341,106,372,6,26,7
341,28951,0.071,38,12,29
342,106,3,7,28,9
342,28952,-0.029,37,12,29
343,106,22,10,48,5
343,28952,-0.003,38,12,29
344,106,alive,9,26,12
344,28953,-0.233,37,12,29
345,107,372,6,26,7
345,28953,0.171,38,12,29
346,107,4,7,28,9
346,28954,0.513,37,12,29
347,107,19,10,48,5
347,28954,0.871,38,12,29
348,107,alive,9,26,12
348,28955,0.183,37,12,29
349,108,372,6,26,7
349,28955,0.414,38,12,29
350,108,5,7,28,9
350,28956,0.463,37,12,29
351,108,21,10,48,5
351,28956,0.254,38,12,29
352,108,alive,9,26,12
352,28957,-0.132,37,12,29
353,109,377,6,26,7
353,28957,-0.033,38,12,29
354,109,0,7,28,9
354,28958,0.105,37,12,29
355,109,3,10,48,5
355,28958,0.207,38,12,29
356,110,377,6,26,7
356,28959,0.19,37,12,29
357,110,3,7,28,9
357,28959,0.425,38,12,29
358,110,dead,9,26,12
358,28960,0.125,37,12,29
359,111,377,6,26,7
359,28960,0.205,38,12,29
360,111,4,7,28,9
360,28961,0.214,37,12,29
361,111,dead,9,26,12
361,28961,0.314,38,12,29
362,112,377,6,26,7
362,29077,0.172,37,12,29
363,112,5,7,28,9
363,29077,0.885,38,12,29
364,112,dead,9,26,12
364,29078,0.197,37,12,29
365,113,391,6,26,7
365,29078,0.343,38,12,29
366,113,0,7,28,9
366,29079,0.217,37,12,29
367,113,5,10,48,5
367,29079,0.501,38,12,29
368,114,391,6,26,7
368,29080,0.334,37,12,29
369,114,3,7,28,9
369,29080,0.411,38,12,29
370,114,dead,9,26,12
370,29081,0.166,37,12,29
371,115,391,6,26,7
371,29081,0.202,38,12,29
372,115,4,7,28,9
372,29082,0.344,37,12,29
373,115,dead,9,26,12
373,29082,1.094,38,12,29
374,116,391,6,26,7
374,29083,0.302,37,12,29
375,116,5,7,28,9
375,29083,0.366,38,12,29
376,116,dead,9,26,12
376,29084,0.825,37,12,29
377,117,400,6,26,7
377,29084,0.071,38,12,29
378,117,0,7,28,9
378,29085,0.653,37,12,29
379,117,6.5,10,48,5
379,29085,0.708,38,12,29
380,118,400,6,26,7
380,29086,0.719,37,12,29
381,118,3,7,28,9
381,29086,0.298,38,12,29
382,118,dead,9,26,12
382,29087,-0.005,37,12,29
383,119,400,6,26,7
383,29087,-0.119,38,12,29
384,119,4,7,28,9
384,29088,0.402,37,12,29
385,119,dead,9,26,12
385,29088,-0.074,38,12,29
386,121,303,6,26,7
386,29089,1.218,37,12,29
387,121,0,7,28,9
387,29089,0.385,38,12,29
388,121,8,10,48,5
388,29090,-0.037,37,12,29
389,122,303,6,26,7
389,29090,0.233,38,12,29
390,122,3,7,28,9
390,29091,0.637,37,12,29
391,122,dead,9,26,12
391,29091,1.182,38,12,29
392,123,303,6,26,7
392,29092,0.736,37,12,29
393,123,4,7,28,9
393,29092,0.654,38,12,29
394,123,dead,9,26,12
394,29093,-0.079,37,12,29
395,124,303,6,26,7
395,29093,-0.024,38,12,29
396,124,5,7,28,9
396,29094,0.162,37,12,29
397,124,dead,9,26,12
397,29094,0.218,38,12,29
398,125,317,6,26,7
398,29095,0.367,37,12,29
399,125,0,7,28,9
399,29095,0.646,38,12,29
400,125,7.5,10,48,5
400,29096,0.35,37,12,29
401,126,317,6,26,7
401,29096,0.298,38,12,29
402,126,3,7,28,9
402,29097,0.318,37,12,29
403,126,14,10,48,5
403,29097,0.64,38,12,29
404,126,alive,9,26,12
404,29098,-0.005,37,12,29
405,127,317,6,26,7
405,29098,0.111,38,12,29
406,127,4,7,28,9
406,29099,0.684,37,12,29
407,127,15,10,48,5
407,29099,0.357,38,12,29
408,127,alive,9,26,12
408,29100,0.291,37,12,29
409,128,317,6,26,7
409,29100,0.293,38,12,29
410,128,5,7,28,9
410,29101,0.046,37,12,29
411,128,14,10,48,5
411,29101,0.1,38,12,29
412,128,alive,9,26,12
412,29102,0.213,37,12,29
413,129,327,6,26,7
413,29102,0.198,38,12,29
414,129,0,7,28,9
414,29103,0.087,37,12,29
415,129,9,10,48,5
415,29103,0.086,38,12,29
416,130,327,6,26,7
416,29104,0.217,37,12,29
417,130,3,7,28,9
417,29104,0.199,38,12,29
418,130,14,10,48,5
418,29126,0.565,37,12,29
419,130,alive,9,26,12
419,29126,0.602,38,12,29
420,131,327,6,26,7
420,29127,0.42,37,12,29
421,131,4,7,28,9
421,29127,0.358,38,12,29
422,131,19,10,48,5
422,29128,0.518,37,12,29
423,131,alive,9,26,12
423,29128,0.59,38,12,29
424,132,327,6,26,7
424,29129,0.082,37,12,29
425,132,5,7,28,9
425,29129,0.397,38,12,29
426,132,dead,9,26,12
426,29130,-0.001,37,12,29
427,133,341,6,26,7
427,29130,0.236,38,12,29
428,133,0,7,28,9
428,29131,0.151,37,12,29
429,133,10,10,48,5
429,29131,-0.005,38,12,29
430,134,341,6,26,7
430,29132,0.474,37,12,29
431,134,3,7,28,9
431,29132,0.512,38,12,29
432,134,20.5,10,48,5
432,29133,0.955,37,12,29
433,134,alive,9,26,12
433,29133,0.677,38,12,29
434,135,341,6,26,7
434,29134,0.151,37,12,29
435,135,4,7,28,9
435,29134,0.329,38,12,29
436,135,19.5,10,48,5
436,29135,0.592,37,12,29
437,135,alive,9,26,12
437,29135,0.05,38,12,29
438,136,341,6,26,7
438,29136,0.17,37,12,29
439,136,5,7,28,9
439,29136,-0.06,38,12,29
440,136,20.5,10,48,5
440,29137,0.301,37,12,29
441,136,alive,9,26,12
441,29137,0.433,38,12,29
442,137,348,6,26,7
442,29162,0.061,37,12,29
443,137,0,7,28,9
443,29162,0.306,38,12,29
444,137,5.5,10,48,5
444,29163,0.892,38,12,29
445,138,348,6,26,7
445,29164,0.042,37,12,29
446,138,3,7,28,9
446,29164,0.213,38,12,29
447,138,9.5,10,48,5
447,29165,0.021,37,12,29
448,138,alive,9,26,12
448,29165,0.03,38,12,29
449,139,348,6,26,7
449,29166,0.042,37,12,29
450,139,4,7,28,9
450,29166,0.33,38,12,29
451,139,12,10,48,5
451,29167,-0.156,37,12,29
452,139,alive,9,26,12
452,29167,0.204,38,12,29
453,140,348,6,26,7
453,29168,0.275,38,12,29
454,140,5,7,28,9
454,29169,0.122,37,12,29
455,140,8.5,10,48,5
455,29169,0.231,38,12,29
456,140,alive,9,26,12
456,29170,-0.003,37,12,29
457,141,355,6,26,7
457,29170,0.202,38,12,29
458,141,0,7,28,9
458,29171,0.075,37,12,29
459,141,10,10,48,5
459,29171,0.184,38,12,29
460,142,355,6,26,7
460,29172,0.06,37,12,29
461,142,3,7,28,9
461,29172,0.195,38,12,29
462,142,26.5,10,48,5
462,29173,0.024,37,12,29
463,142,alive,9,26,12
463,29173,0.34,38,12,29
464,143,355,6,26,7
464,29174,0.634,37,12,29
465,143,4,7,28,9
465,29174,0.44,38,12,29
466,143,33,10,48,5
466,29175,0.081,37,12,29
467,143,alive,9,26,12
467,29175,0.157,38,12,29
468,144,355,6,26,7
468,29177,-0.098,37,12,29
469,144,5,7,28,9
469,29177,-0.143,38,12,29
470,144,31.5,10,48,5
470,29179,0.009,37,12,29
471,144,alive,9,26,12
471,29179,-0.142,38,12,29
472,145,363,6,26,7
472,29182,0.894,37,12,29
473,145,0,7,28,9
473,29182,0.489,38,12,29
474,145,6,10,48,5
474,29183,0.171,37,12,29
475,146,363,6,26,7
475,29183,0.483,38,12,29
476,146,3,7,28,9
476,29184,-0.082,37,12,29
477,146,dead,9,26,12
477,29184,0.163,38,12,29
478,147,363,6,26,7
478,29185,-0.072,37,12,29
479,147,4,7,28,9
479,29185,0.2,38,12,29
480,147,dead,9,26,12
480,29186,-0.124,37,12,29
481,148,363,6,26,7
481,29186,0.683,38,12,29
482,148,5,7,28,9
482,29187,0.176,37,12,29
483,148,dead,9,26,12
483,29187,0.389,38,12,29
484,149,375,6,26,7
484,29189,-0.21,37,12,29
485,149,0,7,28,9
485,29189,0.762,38,12,29
486,149,7,10,48,5
486,29197,0.324,37,12,29
487,150,375,6,26,7
487,29197,0.165,38,12,29
488,150,3,7,28,9
488,29216,0.06,37,12,29
489,150,14,10,48,5
489,29216,0.239,38,12,29
490,150,alive,9,26,12
490,29217,0.049,37,12,29
491,151,375,6,26,7
491,29219,0.105,37,12,29
492,151,4,7,28,9
492,29220,0.106,37,12,29
493,151,14.5,10,48,5
493,29220,0.216,38,12,29
494,151,alive,9,26,12
494,29221,-0.078,37,12,29
495,152,375,6,26,7
495,29221,0.137,38,12,29
496,152,5,7,28,9
496,29222,0.198,37,12,29
497,152,dead,9,26,12
497,29222,0.26,38,12,29
498,153,379,6,26,7
498,29223,0.089,37,12,29
499,153,0,7,28,9
499,29223,0.102,38,12,29
500,153,6.5,10,48,5
500,29224,0.98,37,12,29
501,154,379,6,26,7
501,29224,0.504,38,12,29
502,154,3,7,28,9
502,29225,-0.021,37,12,29
503,154,11,10,48,5
503,29225,0.021,38,12,29
